"1" "2" "3" "4"
"V1423" 0.838747649830583 1.88054884259835e-07 0.160529923942379 0.00072223817215301
"V1424" 0.935201903917587 7.75321786590712e-08 0.0645550420990118 0.000242976451222394
"V1425" 0.659078203779152 0.0895133798423877 3.11598925025403e-07 0.251408104779536
"V1426" 0.632938991155379 0.0526188915822653 0.0208651965744818 0.293576920687874
"V1427" 0.551900769184026 0.0606984954140681 0.0425631494756749 0.344837585926231
"V1428" 0.510404827736441 0.32463045019081 0.0179571772358579 0.147007544836891
"V1429" 0.383481275822026 0.319040747169711 0.0245141551016071 0.272963821906656
"V1430" 0.331463867105545 0.19082714666978 1.00366350305763e-07 0.477708885858325
"V1431" 0.588630347722695 0.144709563713875 6.61256600637286e-05 0.266593962903367
"V1432" 0.256541713752143 0.144534051326584 0.0125525553698154 0.586371679551458
"V1433" 0.293242709223741 0.325246142635522 0.0115665824244386 0.369944565716299
"V1434" 0.368483719523858 0.490510471262091 0.0047779288399604 0.136227880374091
"V1435" 0.248631493630548 0.448193761868646 0.0192842756671817 0.283890468833624
"V1436" 0.503174239506261 0.403959735694254 0.0177437408478681 0.0751222839516167
"V1437" 0.429348475899096 0.452323444525893 0.00618687497391291 0.112141204601098
"V1438" 0.661850560747834 0.146969157855075 0.00975550076453579 0.181424780632555
"V1439" 0.552699841970811 0.174680005515795 0.0300861174003954 0.242534035112998
"V1440" 0.719646818375592 0.148679886418382 0.00131258620579753 0.130360709000228
"V1441" 0.455666452958738 0.0932123755707189 0.00884271958227598 0.442278451888267
"V1442" 0.470379158144833 0.417537852647814 0.0192596442374081 0.0928233449699448
"V1443" 0.534856423820208 0.334443740245732 0.0307811237987615 0.0999187121352982
"V1444" 0.775174153659133 0.0478351651078858 0.00398149088540519 0.173009190347576
"V1445" 0.346344406647735 0.489642651505834 0.00450996422794907 0.159502977618482
"V1446" 0.214362369334795 0.521196862818661 0.000136294770167249 0.264304473076377
"V1447" 0.427442813541908 0.251977674319639 0.0394135946454018 0.281165917493051
"V1448" 0.85735550536337 0.047619121438724 0.0183332994132279 0.076692073784678
"V1449" 0.319814469023893 0.0971882521214915 0.0157063176184534 0.567290961236162
"V1450" 0.710156866077854 0.180863496253427 0.0349354843276726 0.0740441533410464
"V1451" 0.352295368570048 0.182109663696319 0.0137525104211858 0.451842457312447
"V1452" 0.655322479654776 0.0854592012194476 0.0164804662701258 0.242737852855651
"V1453" 0.508589119911282 0.126200288837115 0.0569184682477658 0.308292123003837
"V1454" 0.694881666139187 0.118285253890614 0.0374576824323744 0.149375397537825
"V1455" 0.651004387709322 0.19471707624828 0.05205338463218 0.102225151410217
"V1456" 0.694104856942239 0.069881495559506 0.0724168371172292 0.163596810381025
"V1457" 0.547035164829446 0.246620338337275 0.000342034480813874 0.206002462352465
"V1458" 0.385809426747358 0.544639847283738 0.00581401386107283 0.0637367121078311
"V1459" 0.288040485332282 0.355757396546181 0.0426351904459636 0.313566927675573
"V1460" 0.372322801284697 0.369396340981116 0.00451565388849868 0.253765203845688
"V1461" 0.487933317988569 0.361248360291665 0.0247757597500884 0.126042561969678
"V1462" 0.564151093902629 0.110118426466779 0.0490204555892227 0.276710024041369
"V1463" 0.274451290017029 0.187487733544363 0.0518541504477146 0.486206825990893
"V1464" 0.42020008832104 0.461471712787373 0.0304521484921724 0.0878760503994147
"V1465" 0.503448440619302 0.114266817567159 1.39685766509419e-07 0.382284602127772
"V1466" 0.532511590845235 0.279386811894312 0.0328680331669227 0.15523356409353
"V1467" 0.550846120531537 0.328614965847005 0.0453120552943131 0.0752268583271448
"V1468" 0.0261886298813448 0.157423180393974 0.0237888468045937 0.792599342920088
"V1469" 0.197945450264164 0.167133163378116 0.0183972273553181 0.616524159002402
"V1470" 0.23203676388453 0.279344226279233 4.25438516624024e-07 0.48861858439772
"V1471" 0.310571372255395 0.275445044405374 5.86557783484914e-07 0.413982996781447
"V1472" 0.119300618618623 0.295491109607697 2.08303689055828e-06 0.585206188736789
"V1473" 0.365124720047212 0.0859113902747704 0.00672442100118558 0.542239468676832
"V1474" 0.0966002334911159 0.0795939687670211 2.0550528678717e-07 0.823805592236576
"V1475" 0.335585839901248 0.500463479993865 0.0190732964967364 0.144877383608151
"V1476" 0.166486652283226 0.620991523236016 0.0109086144660467 0.201613210014711
"V1477" 0.411069763469374 0.248273255430211 0.09767736809441 0.242979613006006
"V1478" 0.23207565070798 0.183753438162523 0.0385464700809162 0.545624441048581
"V1479" 0.353950013961508 0.387189752186468 0.0105159450577899 0.248344288794233
"V1480" 0.477184966487717 0.241017301592104 0.0271753805223707 0.254622351397808
"V1481" 0.170338798083915 0.598451571203023 0.0103955364250489 0.220814094288013
"V1482" 0.410841312984027 0.386563988723656 4.77341139943599e-05 0.202546964178322
"V1483" 0.311854706355189 0.608852516395372 0.0188287858677124 0.0604639913817261
"V1484" 0.53752048900927 0.382922305795248 0.00285870533969888 0.0766984998557833
"V1485" 0.536259852357472 0.279413208484899 0.021707922799568 0.162619016358062
"V1486" 0.343669737858661 0.529520367927904 0.00928245527479873 0.117527438938636
"V1487" 0.204908771097807 0.293715105808624 0.0801465295324252 0.421229593561144
"V1488" 0.377361714014415 0.260917930758966 0.0144679737218208 0.347252381504799
"V1489" 0.423201628671218 0.497047354616979 0.00446512395954251 0.0752858927522602
"V1490" 0.143973612889394 0.762374112259497 0.0222818833627501 0.0713703914883589
"V1491" 0.261818111606147 0.230115330447431 0.123762041002297 0.384304516944125
"V1492" 0.333534770678793 0.228294189770032 0.0716806545564431 0.366490384994733
"V1493" 0.310109637637315 0.457289492072846 0.0347628641449805 0.197838006144858
"V1494" 0.301814588144901 0.504650023115071 0.0321994761561479 0.16133591258388
"V1495" 0.160269553826731 0.522515191319551 0.0347273306066572 0.28248792424706
"V1496" 0.495609414117006 0.406779262618195 0.0194412402774752 0.078170082987324
"V1497" 0.137076245665771 0.831941730958813 0.0179334718384895 0.0130485515369265
"V1498" 0.717373253109137 0.194834500396 0.000431777333776198 0.0873604691610862
"V1499" 0.662438087732063 0.256500901070347 0.0079807385433519 0.0730802726542375
"V1500" 0.490297707508749 0.117821822377131 2.15647657139106e-06 0.391878313637548
"V1501" 0.118966048234411 0.839420212674883 0.00793005754777592 0.0336836815429298
"V1502" 0.404297777043311 0.340165297949406 0.0244809501686819 0.2310559748386
"V1503" 0.290564994787623 0.635647975858373 0.00650349095634901 0.0672835383976552
"V1504" 0.1949266958467 0.746214979957824 0.0378861452955944 0.0209721788998816
"V1505" 0.507396430506573 0.254508298853507 0.044897072760892 0.193198197879028
"V1506" 0.317752593616311 0.50702707253669 0.021083760602408 0.15413657324459
"V1507" 0.379841218760273 0.539442947462628 0.00220320627368163 0.0785126275034169
"V1508" 0.456638378519166 0.501932814211024 0.000930764679987864 0.0404980425898222
"V1509" 0.0433076762015271 0.878625240937724 0.00650877562198358 0.0715583072387649
"V1510" 0.0772332488086319 0.854301451305747 0.0384655996201408 0.0299997002654799
"V1511" 0.162594430537222 0.802084889200265 0.0177116518469508 0.0176090284155618
"V1512" 0.330408055655484 0.192914735959182 0.00976410187887337 0.466913106506461
"V1513" 0.451122666161769 0.494622619245299 8.72997669162862e-08 0.0542546272931646
"V1514" 0.338605157747506 0.626189202964591 0.00989253304160982 0.0253131062462933
"V1515" 0.607072864322672 0.292260988618242 1.82682081166129e-05 0.100647878850969
"V1516" 0.392122947743384 0.574915568622132 0.0217687460687244 0.0111927375657595
"V1517" 0.576250876670372 0.380718818089447 0.00245917914146994 0.0405711260987106
"V1518" 0.476404114276112 0.392768694397367 0.0183357446900136 0.112491446636508
"V1519" 0.657202192324752 0.186068472613591 0.028505274945705 0.128224060115951
"V1520" 0.688144484962499 0.274623549603456 0.00551149127844813 0.0317204741555964
"V1521" 0.241920379540519 0.70527869650544 0.05033344722862 0.0024674767254213
"V1522" 0.687486053578793 0.209456372052807 0.0214536877021245 0.0816038866662747
"V1523" 0.587418038360465 0.349243018859364 0.00838835457112969 0.0549505882090423
"V1524" 0.337066539977163 0.642850372844346 0.019270140119823 0.000812947058668148
"V1525" 0.238571645428354 0.718294259884137 0.0106504028168981 0.0324836918706117
"V1526" 0.425170756087564 0.532706162222271 0.0291922477281649 0.0129308339620002
"V1527" 0.292447034214449 0.570538711730029 0.042736446674346 0.0942778073811754
"V1528" 0.440928855637019 0.470802034905396 0.0615191947962117 0.026749914661373
"V1529" 0.743613353385078 0.20896660044423 0.0168838782203388 0.0305361679503539
"V1530" 0.513114518920656 0.430746758817563 0.0441868080891145 0.0119519141726657
"V1531" 0.704580380270187 0.138217692957821 0.00785818665140782 0.149343740120584
"V1532" 0.744173192307354 0.172597729681908 0.0371193268652183 0.0461097511455199
"V1533" 0.45162970535009 0.53379346270397 0.0100934964370162 0.00448333550892385
"V1534" 0.415118663854679 0.510660582438905 0.0701290609318828 0.00409169277453259
"V1535" 0.608999151526567 0.137881113649969 0.0126838272654683 0.240435907557995
"V1536" 0.422648868357877 0.521897746143351 0.0422962333366102 0.0131571521621613
"V1537" 0.476864082181745 0.507928735802561 0.00896085129709174 0.00624633071860143
"V1538" 0.0847481290165509 0.84307511205774 0.0571219546729172 0.0150548042527916
"V1539" 0.529087950041364 0.452404590054639 0.00571230864868864 0.0127951512553091
"V1540" 0.241010419442292 0.709988806536967 0.0473229998472164 0.00167777417352497
"V1541" 0.273635524424961 0.506441247951889 0.0839564358804249 0.135966791742725
"V1542" 0.846022638950783 0.0797349309410413 0.0040439898014616 0.0701984403067138
"V1543" 0.434033051513228 0.499433121808297 0.0306063316754262 0.0359274950030484
"V1544" 0.334771233026699 0.634625776808183 0.0296597827901502 0.00094320737496735
"V1545" 0.493509057672734 0.475622691891075 0.0150105419104089 0.0158577085257826
"V1546" 0.462802299893772 0.475712354112179 0.00751904314133587 0.0539663028527127
